,precision,recall,f1-score,support
DoS,0.9547888161808448,0.8608205953338697,0.9053730080383585,7458.0
Normal,0.7012461059190032,0.9271959633405417,0.7985455190457186,9711.0
Probe,0.7128041483845233,0.738124741842214,0.7252435064935064,2421.0
R2L,0.7121212121212122,0.08533042846768336,0.15239948119325553,2754.0
U2R,0.13286713286713286,0.095,0.11078717201166181,200.0
accuracy,0.7747072391767211,0.7747072391767211,0.7747072391767211,0.7747072391767211
macro avg,0.6427654830945433,0.5412943457968618,0.5384697373565002,22544.0
weighted avg,0.7826503732101827,0.7747072391767211,0.7409788664049144,22544.0
